Path;SteerAngle;Throttle;Brake;Speed;X_Position;Y_Position;Pitch;Yaw;Roll
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_130.jpg;-15;0;0;0;99.67;85.58897;0.0002957827;326.4209;-2.18502E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_197.jpg;-15;0;0;0;99.67;85.58897;0.0002958273;323.7209;-3.098226E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_263.jpg;-15;0;0;0;99.67;85.58897;0.0002939139;320.1209;-2.831421E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_330.jpg;-15;0;0;0;99.66999;85.58897;0.0002924684;317.4209;-2.083066E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_396.jpg;-15;0;0;0;99.66999;85.58897;0.0002914027;314.721;-1.351472E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_463.jpg;-15;0;0;0;99.66999;85.58897;0.0002898496;311.121;-1.2341E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_530.jpg;-15;0;0;0;99.66999;85.589;0.0002885312;308.421;-3.555173E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_594.jpg;-15;0;0;0;99.66999;85.589;0.0002863315;305.7209;-4.638355E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_659.jpg;-15;0;0;0;99.66999;85.589;0.0002838136;303.0209;-6.486026E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_731.jpg;-15;0;0;0;99.66999;85.589;0.0002805232;299.4208;-9.082587E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_793.jpg;-15;0;0;0;99.66999;85.589;0.0002780368;296.7209;-9.818468E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_864.jpg;-15;0;0;0;99.66999;85.589;0.0002735703;293.1208;-9.906554E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_930.jpg;-15;0;0;0;99.66999;85.589;0.0002713756;290.4208;-9.895271E-06
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_32_997.jpg;-15;0;0;0;99.66999;85.589;0.0002680629;287.7208;-1.051869E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_063.jpg;-15;0;0;0;99.66999;85.589;0.0002642899;284.1208;-1.244938E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_130.jpg;-15;0;0;0;99.66999;85.589;0.0002633179;281.4208;-1.384919E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_197.jpg;-15;0;0;0;99.66999;85.589;0.0002620256;278.7208;-1.387344E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_263.jpg;-15;0;0;0;99.66999;85.589;0.000262621;275.1208;-1.350882E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_330.jpg;-15;0;0;0;99.66999;85.589;0.0002631893;272.4208;-1.22457E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_397.jpg;-15;0;0;0;99.66999;85.589;0.000262141;269.7208;-1.301165E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_463.jpg;-15;0;0;0;99.66999;85.589;0.0002602111;267.0208;-1.394769E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_528.jpg;-15;0;0;0;99.66999;85.589;0.0002589848;263.4208;-1.252009E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_593.jpg;-15;0;0;0;99.66999;85.589;0.0002589428;260.7208;-1.106394E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_659.jpg;-15;0;0;0;99.66999;85.589;0.0002580322;258.0208;-1.08464E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_732.jpg;-15;0;0;0;99.66999;85.589;0.0002565246;254.4208;-1.141527E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_794.jpg;0;0;0;0;99.66999;85.589;0.0002555047;253.6119;-1.997672E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_860.jpg;2.97076;0;0;0;99.66999;85.589;0.0002538952;253.9633;-3.043549E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_929.jpg;5.965812;0;0;0;99.66999;85.589;0.0002505084;255.2133;-4.62695E-05
E:\computer vision m.khalil\roversim\obstacles data\IMG\robocam_2022_12_06_17_43_33_993.jpg;9.056668;0;0;0;99.66999;85.589;0.0002471623;256.6592;-5.721489E-05
